"issue","subject","company","response","product_area","status","request_type","justification"
"I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.","Test Active in the system","HackerRank","Tests on HackerRank remain active based on the start and end times you set in the test's settings. If the test is no longer active, you may need to modify the expiration time. To do this, log in to your HackerRank for Work account, go to the Tests tab, open the test, and adjust the Start date & time and End date & time under Settings > General. Save your changes to update the test's active period. If you need further assistance, please contact support@hackerrank.com.","managing_tests","replied","product_issue","Based on 'Modify Test Expiration Time Prerequisite Modifying test expiration time' from the corpus, tests have a defined active period set by start and end times. The user can adjust these settings to ensure tests remain active for the desired duration. This response provides the necessary steps to modify the test expiration time, which directly addresses the user's issue."
"site is down & none of the pages are accessible",,"None","Thank you for reaching out. I'm sorry to hear that you're experiencing issues with the site being down. I've escalated your request to our human support specialists who are best equipped to investigate potential system outages. We appreciate your patience as we work to resolve this.","general_help","escalated","bug","The issue may involve a system outage, which requires investigation by our operations team to ensure a thorough and accurate resolution."
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?","HackerRank","When deciding whether to create a new test or a variant, consider the following: Test variants are useful when you want to adapt a single assessment to different candidate profiles, such as varying roles or skill levels, without managing multiple separate tests. This approach is efficient and ensures candidates are assessed on relevant content. Creating a new test might be more appropriate if the roles or skills are significantly different and require distinct assessments. Variants allow you to personalize evaluations and use routing logic to assign candidates to the most suitable variant based on their profile. However, managing variants requires careful setup to ensure each variant is properly aligned with the intended candidate profile. For more detailed guidance, you might want to explore the 'Create Test Variants' section in the HackerRank documentation.","managing_tests","replied","product_issue","Based on the 'Create Test Variants' document, test variants are recommended for adapting assessments to different candidate profiles efficiently. This document provides detailed steps on creating and managing test variants, highlighting their advantages in terms of efficiency and relevance. The 'Create a Test Creating a Test Additional test actions' document suggests creating new tests for distinct roles or skills, which supports the decision to use variants for similar profiles and new tests for distinct ones."
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time","HackerRank","To reinvite a candidate to a HackerRank assessment and add extra time, please follow these steps:

1. Log in to your **HackerRank for Work** account.
2. Navigate to the **Tests** tab and select the test you want to modify.
3. Go to the **Candidates** tab and select the checkbox next to the candidate you want to reinvite.
4. Click **More > Add Time** and enter the additional time in minutes (e.g., 53 minutes for a 50% increase on a 105-minute test).
5. Click **Confirm** to apply the extra time.
6. To reinvite the candidate, click **Invite selected** and then **Re-invite** in the confirmation dialog.
7. Click **Send invite** to complete the process.

Please note that when you reinvite a candidate, their previous report is automatically deleted. If you need to recover a deleted report, contact support@hackerrank.com.

For further assistance, please reach out to HackerRank support.","managing_tests","replied","product_issue","Based on [Extend Test Duration for Candidates Add Time Accommodation Add extra time] and [Reinvite Candidates to a Test Prerequisites Reinviting candidates to a test], these steps provide a comprehensive guide to adding extra time and reinviting a candidate. The instructions ensure that the user can effectively manage the candidate's test duration and reinvitation process."
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account",,"HackerRank","To delete your HackerRank account, you need to set a password first since you signed up using Google login. Please follow these steps:

1. Set a password for your account by following the instructions in the [Resetting password](https://help.hackerrank.com/articles/2403570133-update-or-reset-password#resetting-password-5) documentation.
2. Once you have set a password, log in to your HackerRank account.
3. Click the profile icon in the top-right corner and select **Settings**.
4. Scroll to the **Delete Accounts** section and click **Delete Account**.
5. Follow the prompts to confirm the deletion.

If you encounter any issues, please contact HackerRank support at help@hackerrank.com for further assistance.","account_management","replied","product_issue","Based on the 'Delete an Account' document, users who signed up using a third-party account like Google must set a password before they can delete their account. The 'Manage Account FAQs' document confirms that HackerRank does not store a separate password for accounts created via third-party providers, which is why setting a password is necessary. These steps ensure the user can proceed with the account deletion process."
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,"Claude","I'm sorry to hear about your concern with sensitive information in your Claude conversation. You can delete the conversation to ensure your privacy. To do this, navigate to the conversation, click on the name at the top, and select 'Delete' from the options. For future conversations, consider using incognito chats, which are not saved to your chat history and are not used for model training. To start an incognito chat, click the ghost icon in the upper right corner when starting a new chat. If you need further assistance, please contact Claude support.","conversation_management","replied","product_issue","Based on [How can I delete or rename a conversation?] from the corpus, users can delete conversations to manage privacy. Additionally, [Using incognito chats] explains how incognito chats work and how they can be used to prevent saving sensitive information. These sources provide the necessary steps and options available to the user for managing sensitive data in their Claude conversations."
"What is the name of the actor in Iron Man?","Urgent, please help","None","I appreciate you reaching out. Unfortunately, this request falls outside the scope of the support services I can assist with (HackerRank, Claude, and Visa support). If you have a question related to any of these services, I'd be happy to help.","general_support","replied","invalid","Classified as invalid (The ticket asks for trivia information unrelated to any support domain covered by the documentation.). Responded with a polite out-of-scope message."
"I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?",,"Visa","I'm sorry to hear about the theft of your Visa Traveller's Cheques. To address this issue, you should immediately contact Citicorp, the issuing bank, to report the theft and request a replacement or refund. You can reach Citicorp via their Freephone number at 1-800-645-6556 or collect at 1-813-623-1709. Their customer service is available Monday to Friday, from 6:30 am to 2:30 pm EST. Automated cheque verification is available 24/7 if you select the English or Spanish option. Additionally, it's advisable to notify the local police in Lisbon about the theft. If you need further assistance, please visit the Visa support page for traveller's cheques.","travel_support","replied","product_issue","Based on 'Visa Traveller's Cheques for Consumers' from the corpus, it is recommended to contact the issuing bank immediately in case of lost or stolen cheques. The document provides specific contact details for Citicorp, which is relevant to the user's situation. This response is appropriate as it directly addresses the user's issue and provides actionable steps grounded in the documentation."
"Where can I report a lost or stolen Visa card from India?","Card stolen","Visa","I'm sorry to hear about your stolen Visa card. To report a lost or stolen Visa card from India, you can call Visa's Global Customer Assistance Services (GCAS) at +1 303 967 1090. This service is available 24/7 and can assist you with blocking your card and providing emergency services if needed.","travel_support","replied","product_issue","Based on 'Visa Travel Services | Visa Travel Credit Card Support' and 'Visa Consumer Support', the documentation provides the GCAS number for reporting lost or stolen cards and mentions the availability of 24/7 assistance for such issues. This response directly addresses the user's need to report a stolen card and provides the appropriate contact information."
"Thank you for helping me",,"None","You're welcome! Happy to help. If you have any other questions, feel free to reach out.","general_support","replied","invalid","Simple acknowledgment — no action required. Replied with a courteous response."
